Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
COPE SAT 2,1_0_2_1E_65_0_CE40000_0_0_0.png,copesat2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Canção Nova,1_0_1_1266_2F_36_CE40000_0_0_0.png,canonova.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Canção Nova,1_0_1_17C8_30_36_CE40000_0_0_0.png,canonova.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Canção Nova,1_0_1_9E1_2F_36_CE40000_0_0_0.png,canonova.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Canção Nova,1_0_1_12F4_30_36_CE40000_0_0_0.png,canonova.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Caça e Pesca,1_0_1_32F_2F_36_CE40000_0_0_0.png,caaepesca.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
DAZN 1 HD,1_0_1_13AE_27_36_CE40000_0_0_0.png,dazn1hd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Disney Júnior,1_0_1_139B_30_36_CE40000_0_0_0.png,disneyjnior.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Disney Júnior,1_0_1_9E2_2F_36_CE40000_0_0_0.png,disneyjnior.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
EXTREMADURA FM,1_0_2_74_65_0_CE40000_0_0_0.png,extremadurafm.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Europa FM,1_0_2_2_65_0_CE40000_0_0_0.png,europafm.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
FM HUESCA,1_0_2_3B_65_0_CE40000_0_0_0.png,fmhuesca.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
FM TERUEL,1_0_2_3C_65_0_CE40000_0_0_0.png,fmteruel.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
FM ZARAGOZA,1_0_2_3A_65_0_CE40000_0_0_0.png,fmzaragoza.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Hollywood HD,1_0_1_1785_26_36_CE40000_0_0_0.png,hollywoodhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Kuriakos TV HD,1_0_1_1262_2F_36_CE40000_0_0_0.png,kuriakostvhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Kuriakos TV HD,1_0_1_FD_30_36_CE40000_0_0_0.png,kuriakostvhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
MegaStar,1_0_2_27_65_0_CE40000_0_0_0.png,megastar.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
OCASIONAIS,1_0_2_5_1_1_CE40000_0_0_0.png,ocasionais.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Oxigénio,1_0_2_523_30_36_CE40000_0_0_0.png,oxignio.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
Oxigénio,1_0_2_126B_2F_36_CE40000_0_0_0.png,oxignio.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ALBACE_PRADO,1_0_2_302_EA79_1_CE40000_0_0_0.png,r1albaceprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ALICAN_PRADO,1_0_2_474_EA74_1_CE40000_0_0_0.png,r1alicanprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ALMERI_PRADO,1_0_2_262_EA79_1_CE40000_0_0_0.png,r1almeriprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ANDALU_PRADO,1_0_2_140_EA76_1_CE40000_0_0_0.png,r1andaluprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_ANDALU_PRADO,1_0_2_140_EA79_1_CE40000_0_0_0.png,r1andaluprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
